long,lat,no
150.78011999999998,-28.99901,3
130.72705,-13.31845,3
147.21042,-32.694590000000005,3
141.8455,-12.8451,3
136.3547,-16.458,3
152.2438,-30.1211,3
126.65099,-14.52855,3
132.06505,-12.78166,3
150.18929,-22.53646,3
132.0653,-12.8056,3
134.93765,-12.26759,3
151.08005,-26.31393,3
147.06201000000001,-30.73916,3
134.43333,-12.17566,3
126.62876999999999,-14.522260000000001,3
145.96272,-32.55695,3
142.58566000000002,-17.1921,3
148.3922,-29.46003,3
126.4432,-27.0841,3
130.73807,-13.152779999999998,3
148.34898,-29.261470000000003,3
126.69083,-14.53413,3
143.4594,-14.26746,3
130.71251,-13.309470000000001,3
142.5101,-11.120999999999999,3
150.19368,-22.53058,3
126.68346000000001,-14.512310000000001,3
136.46899,-16.403129999999997,3
132.20865,-12.79295,3
147.06366,-30.746170000000003,3
136.36656000000002,-16.43596,3
150.7739,-30.3616,3
134.6828,-12.1385,3
136.64706,-13.806270000000001,3
149.10701,-26.20308,3
142.11966,-15.72313,3
130.30125,-15.74939,3
130.70462,-13.29969,3
134.436,-12.1716,3
134.9427,-12.26689,3
142.08182,-12.304739999999999,3
125.3486,-17.18816,3
130.33618,-15.76225,3
132.85217,-14.26805,3
142.04335,-12.83736,3
141.8976,-12.09619,3
131.5611,-12.7815,3
142.90158,-13.169529999999998,3
142.06555,-12.84902,3
133.20418,-15.47238,3
142.12866,-12.81292,3
135.78429,-11.93412,3
133.84065,-12.51987,3
130.28453000000002,-11.71607,3
142.12288,-15.71911,3
131.5889,-12.8125,3
126.64088000000001,-14.53465,3
135.62012,-15.432720000000002,3
129.89412,-14.323620000000002,3
142.0809,-12.37321,3
126.4316,-27.0454,3
136.4944,-16.3773,3
148.62222,-22.32037,3
147.40038,-42.34704,3
145.51535,-17.792370000000002,3
130.7191,-13.308689999999999,3
142.77295,-12.85469,3
142.61789,-12.6442,3
148.0575,-36.1143,3
146.44196000000002,-32.97532,3
143.1781,-14.0275,3
133.84409,-12.51511,3
150.60428000000002,-22.68125,3
134.53673999999998,-12.57058,3
143.45627,-14.275520000000002,3
134.10449,-12.46749,3
126.4318,-27.0715,3
136.5912,-12.637369999999999,3
134.85495,-12.39439,3
126.68352,-14.423070000000001,3
133.20752,-15.51561,3
153.12589,-28.090359999999997,3
142.0427,-12.8431,3
134.36955,-13.62473,3
125.32563999999999,-17.20423,3
149.18200000000002,-27.8502,3
152.34663,-30.46435,3
148.5645,-25.6304,3
148.61706999999998,-22.32667,3
152.12138000000002,-31.68952,3
132.89162,-14.521820000000002,3
142.11525,-14.86486,3
142.06946000000002,-12.84838,3
142.80669,-16.97958,3
143.46002,-14.271120000000002,3
142.61606,-11.10019,3
148.34377,-29.26247,3
153.11928999999998,-28.06867,3
136.48677,-16.3821,3
142.24562,-34.18752,3
136.37941,-16.46021,3
142.61346,-11.09644,3
152.21628,-30.14612,3
130.28908,-15.74509,3
135.52975,-14.57436,3
134.44063,-15.287120000000002,3
142.77951000000002,-17.041829999999997,3
148.50145,-31.608190000000004,3
130.78069,-13.12621,3
142.5973,-12.6491,3
135.63837,-15.41439,3
126.48299999999999,-27.1071,3
130.33893999999998,-15.76128,3
130.72307,-13.31357,3
141.96341999999999,-14.78067,3
148.6246,-25.783,3
132.1299,-11.3673,3
152.21957,-30.15411,3
126.4899,-27.0354,3
151.15563999999998,-23.830389999999998,3
134.12343,-12.320089999999999,3
151.44138,-28.2636,3
153.13258000000002,-28.06261,3
150.78198,-28.99728,3
142.96182,-12.80815,3
144.0406,-35.328140000000005,3
142.07268,-12.29899,3
144.24632,-14.497329999999998,3
142.05675,-12.820889999999999,3
143.8669,-14.5356,3
142.45296000000002,-11.0854,3
142.16449,-15.73351,3
148.16016000000002,-28.68198,3
142.0667,-12.50913,3
132.13898,-11.3615,3
143.17088,-14.02334,3
134.85573,-12.3883,3
126.47568000000001,-27.0854,3
145.58113,-17.02088,3
141.90768,-12.08381,3
126.479,-27.0713,3
126.72021000000001,-14.44597,3
126.4664,-27.0376,3
